chr	nDSB	nOsc	nDel	nIns	nInv	nDup
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	0	0	0	0	0	0
5	0	0	0	0	0	0
6	0	0	0	0	0	0
7	2	3	2	0	0	2
8	0	0	0	0	0	0
9	0	0	0	0	0	0
10	2	3	2	0	0	1
11	10	1	1	11	4	0
12	1	0	0	2	1	0
13	0	0	0	0	0	0
14	0	0	0	0	0	0
15	0	0	0	0	0	0
16	0	0	0	0	0	0
17	6	2	2	3	3	0
18	0	0	0	0	0	0
19	0	0	0	0	0	0
20	2	0	0	1	0	0
21	1	1	1	1	0	0
22	1	0	0	2	0	0
1	1	0	0	2	1	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	0	0	0	0	0	0
5	0	0	0	0	0	0
6	0	0	0	0	0	0
7	2	3	2	1	0	2
8	2	1	1	3	1	0
9	0	0	0	0	0	0
10	3	3	2	0	0	1
11	14	2	2	12	1	0
12	1	0	0	2	1	0
13	0	0	0	0	0	0
14	0	0	0	0	0	0
15	1	1	0	1	2	1
16	0	0	0	0	0	0
17	17	2	2	9	2	0
18	0	0	0	0	0	0
19	1	0	0	2	1	0
20	2	0	0	2	0	0
21	2	1	1	2	0	0
22	1	0	0	2	0	0
