chromosome	start	end	total_cn
1	0	230000000	3
1	230000000	240000000	1
2	0	235000000	2
3	0	10000000	0
3	10000000	20000000	2
3	20000000	25000000	3
3	25000000	40000000	4
3	40000000	60000000	3
3	60000000	65000000	2
3	65000000	70000000	3
3	70000000	190000000	2
4	0	185000000	2
5	0	175000000	2
6	0	165000000	2
7	0	120000000	3
7	120000000	145000000	1
7	145000000	150000000	2
8	0	140000000	2
9	0	130000000	2
10	0	125000000	2
11	0	65000000	3
11	65000000	75000000	1
11	75000000	130000000	2
12	0	125000000	2
13	0	105000000	2
14	0	100000000	2
15	0	95000000	2
16	0	85000000	2
17	0	75000000	2
18	0	75000000	2
19	0	50000000	2
20	0	55000000	2
21	0	10000000	3
21	10000000	30000000	1
21	30000000	40000000	3
22	0	45000000	2
1	0	220000000	1
1	220000000	230000000	4
1	230000000	240000000	1
2	0	235000000	2
3	0	10000000	0
3	10000000	20000000	2
3	20000000	25000000	1
3	25000000	40000000	3
3	40000000	60000000	1
3	60000000	65000000	2
3	65000000	70000000	1
3	70000000	190000000	2
4	0	185000000	2
5	0	175000000	2
6	0	165000000	2
7	0	145000000	1
7	145000000	150000000	2
8	0	140000000	2
9	0	130000000	2
10	0	125000000	2
11	0	75000000	1
11	75000000	130000000	2
12	0	125000000	2
13	0	105000000	2
14	0	100000000	2
15	0	95000000	2
16	0	85000000	2
17	0	75000000	2
18	0	75000000	2
19	0	50000000	2
20	0	55000000	2
21	0	10000000	5
21	10000000	20000000	2
21	20000000	25000000	0
21	25000000	40000000	1
22	0	45000000	2
