chromosome	start	end	total_cn
1	0	240000000	2
2	0	235000000	2
3	0	40000000	4
3	40000000	45000000	3
3	45000000	55000000	0
3	55000000	160000000	1
3	160000000	190000000	2
4	0	185000000	2
5	0	60000000	1
5	60000000	175000000	2
6	0	165000000	2
7	0	150000000	2
8	0	140000000	2
9	0	130000000	2
10	0	125000000	2
11	0	130000000	2
12	0	125000000	2
13	0	105000000	2
14	0	100000000	2
15	0	95000000	2
16	0	45000000	3
16	45000000	85000000	2
17	0	50000000	1
17	50000000	75000000	2
18	0	75000000	2
19	0	50000000	2
20	0	35000000	1
20	35000000	50000000	3
20	50000000	55000000	2
21	0	40000000	2
22	0	20000000	2
22	20000000	30000000	3
22	30000000	45000000	2
